,Mean,Std
Fold,2.0,1.0
AUC,0.547747731571261,0.2559120740496793
Accuracy,0.6708005646299657,0.13596022975507827
BalancedAccuracy,0.5646502190619836,0.15568816868870475
Sensitivity,0.42857142857142855,0.2075666163590797
Specificity,0.700729009552539,0.13192001260065106
TopK,5.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
