ROI,Feature,EffectSize,ROI_Name,Network
0,DFA,-0.6723070971364938,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
0,HFD,0.8845291946737319,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
0,Spectral_Slope,-0.6102769278457876,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
1,DFA,-0.5639185020726393,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
1,HFD,0.47434588321811316,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
1,Spectral_Slope,-0.3624384930693279,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
2,DFA,-0.36732256922937356,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
2,HFD,0.4074991867317952,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
2,Spectral_Slope,-0.35720389642668443,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
3,DFA,-0.8119508458992031,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
3,HFD,0.6730679845607342,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
3,Spectral_Slope,-0.7443938243822966,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
4,DFA,-0.5802843861404015,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
4,HFD,0.346041725358586,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
4,Spectral_Slope,-0.13187984811137318,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
5,DFA,-0.3538055582019057,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
5,HFD,0.2848538829939658,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
5,Spectral_Slope,-0.3106010836835916,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
6,DFA,-0.6893813647131867,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
6,HFD,0.3203081166808947,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
6,Spectral_Slope,-0.22704809250065933,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
7,DFA,-0.4045406240456268,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
7,HFD,0.2331556710595928,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
7,Spectral_Slope,-0.2063541707989209,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
8,DFA,-1.0212478987406488,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
8,HFD,0.693895383487547,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
8,Spectral_Slope,-0.39903666584758063,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
9,DFA,-0.12088118262944697,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
9,HFD,0.13460024177076738,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
9,Spectral_Slope,0.067435362712561,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
10,DFA,-0.923668004341702,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
10,HFD,0.6214326031178663,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
10,Spectral_Slope,-0.3391515594684068,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
11,DFA,-0.5484108451970842,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
11,HFD,0.42243133112177195,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
11,Spectral_Slope,-0.2521094432531211,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
12,DFA,-0.2941852980950649,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
12,HFD,0.3324898676494668,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
12,Spectral_Slope,-0.4195661369192846,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
13,DFA,-0.4173651718635614,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
13,HFD,0.22172778108314742,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
13,Spectral_Slope,-0.11987337070480726,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
14,DFA,-0.8839868805868335,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
14,HFD,0.857395563177481,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
14,Spectral_Slope,-0.6557119166362042,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
15,DFA,-0.6556379731369641,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_4,VisPeri
15,HFD,0.4366956717559936,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_4,VisPeri
15,Spectral_Slope,-0.19298879856711532,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_4,VisPeri
16,DFA,-0.5343359074892999,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_5,VisPeri
16,HFD,0.3805815989250588,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_5,VisPeri
16,Spectral_Slope,-0.19129880745232591,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_5,VisPeri
17,DFA,-0.8560301150295166,Schaefer2018_17Networks_LH_VisPeri_StriCal_1,VisPeri
17,HFD,0.7508338513491206,Schaefer2018_17Networks_LH_VisPeri_StriCal_1,VisPeri
17,Spectral_Slope,-0.6627828023440492,Schaefer2018_17Networks_LH_VisPeri_StriCal_1,VisPeri
18,DFA,-0.8099039664291608,Schaefer2018_17Networks_LH_VisPeri_StriCal_2,VisPeri
18,HFD,0.7129114210561956,Schaefer2018_17Networks_LH_VisPeri_StriCal_2,VisPeri
18,Spectral_Slope,-0.7879358534926966,Schaefer2018_17Networks_LH_VisPeri_StriCal_2,VisPeri
19,DFA,-0.30281777337268123,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_8,VisPeri
19,HFD,0.011828634387844567,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_8,VisPeri
19,Spectral_Slope,0.0426720206688387,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_8,VisPeri
20,DFA,-0.41638750641918965,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_9,VisPeri
20,HFD,0.49825530683583846,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_9,VisPeri
20,Spectral_Slope,-0.46377543339622096,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_9,VisPeri
21,DFA,-0.23516554366489767,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_10,VisPeri
21,HFD,-0.09376975934222001,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_10,VisPeri
21,Spectral_Slope,0.16271590892897655,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_10,VisPeri
22,DFA,-0.5375256339572168,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_11,VisPeri
22,HFD,0.5382690118507315,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_11,VisPeri
22,Spectral_Slope,-0.4758556418657776,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_11,VisPeri
23,DFA,-0.08094638835096361,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_12,VisPeri
23,HFD,0.005417853050433759,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_12,VisPeri
23,Spectral_Slope,-0.08841272327512235,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_12,VisPeri
24,DFA,-0.29559622271347097,Schaefer2018_17Networks_LH_SomMotA_1,SomMotA
24,HFD,0.1769710280043623,Schaefer2018_17Networks_LH_SomMotA_1,SomMotA
24,Spectral_Slope,-0.03270984723916255,Schaefer2018_17Networks_LH_SomMotA_1,SomMotA
25,DFA,-0.28129676740476023,Schaefer2018_17Networks_LH_SomMotA_2,SomMotA
25,HFD,0.14334269412015013,Schaefer2018_17Networks_LH_SomMotA_2,SomMotA
25,Spectral_Slope,-0.24108739023822776,Schaefer2018_17Networks_LH_SomMotA_2,SomMotA
26,DFA,-0.17884910933765816,Schaefer2018_17Networks_LH_SomMotA_3,SomMotA
26,HFD,0.1571999708258448,Schaefer2018_17Networks_LH_SomMotA_3,SomMotA
26,Spectral_Slope,0.004211304827117905,Schaefer2018_17Networks_LH_SomMotA_3,SomMotA
27,DFA,-0.30991719169594334,Schaefer2018_17Networks_LH_SomMotA_4,SomMotA
27,HFD,0.14567382175272386,Schaefer2018_17Networks_LH_SomMotA_4,SomMotA
27,Spectral_Slope,0.06085151443209126,Schaefer2018_17Networks_LH_SomMotA_4,SomMotA
28,DFA,-0.43040549176119797,Schaefer2018_17Networks_LH_SomMotA_5,SomMotA
28,HFD,0.2928911578485874,Schaefer2018_17Networks_LH_SomMotA_5,SomMotA
28,Spectral_Slope,-0.011247083514172853,Schaefer2018_17Networks_LH_SomMotA_5,SomMotA
29,DFA,-0.42869867965310804,Schaefer2018_17Networks_LH_SomMotA_6,SomMotA
29,HFD,0.15750870065943845,Schaefer2018_17Networks_LH_SomMotA_6,SomMotA
29,Spectral_Slope,-0.054253142884149785,Schaefer2018_17Networks_LH_SomMotA_6,SomMotA
30,DFA,-0.19764966851495566,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
30,HFD,0.09070718207889662,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
30,Spectral_Slope,-0.06454426060804337,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
31,DFA,-0.30649024227175947,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
31,HFD,0.422723862492228,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
31,Spectral_Slope,-0.3126256289931873,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
32,DFA,-0.4014809422407417,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
32,HFD,0.3316173673222787,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
32,Spectral_Slope,-0.2768275571512087,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
33,DFA,-0.29870372267459827,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
33,HFD,0.12475259631722933,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
33,Spectral_Slope,0.19543039493480976,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
34,DFA,-0.4327038417368267,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
34,HFD,0.4191997337341022,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
34,Spectral_Slope,-0.3335482450375328,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
35,DFA,-0.449743609826752,Schaefer2018_17Networks_LH_SomMotA_12,SomMotA
