ROI,Feature,EffectSize,ROI_Name,Network
0,DFA,-0.250093639037203,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
0,HFD,0.2528225548599031,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
0,Spectral_Slope,-0.28320372197129295,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
1,DFA,0.003971565064464145,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
1,HFD,-0.06981367350939936,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
1,Spectral_Slope,0.08066159339394588,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
2,DFA,-0.006411379208945616,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
2,HFD,-0.032188638798986625,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
2,Spectral_Slope,0.09896660763899211,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
3,DFA,-0.08767818259698396,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
3,HFD,0.1476639873165474,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
3,Spectral_Slope,0.07493550301356001,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
4,DFA,-0.08494383608840245,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
4,HFD,-0.034480053983169445,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
4,Spectral_Slope,0.06430494935779131,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
5,DFA,-0.02474849827881948,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
5,HFD,0.025823230872940427,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
5,Spectral_Slope,-0.25818407737458754,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
6,DFA,0.058913436665364034,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
6,HFD,-0.18419269220186069,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
6,Spectral_Slope,0.10280170935725758,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
7,DFA,0.022064617610987516,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
7,HFD,-0.07763623223495113,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
7,Spectral_Slope,0.2927386346449838,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
8,DFA,-0.2313510995023762,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
8,HFD,0.23775020916281586,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
8,Spectral_Slope,-0.4531497663698706,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
9,DFA,0.29077513383613557,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
9,HFD,-0.1008888342141851,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
9,Spectral_Slope,0.18603065982445102,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
10,DFA,-0.16049233482989395,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
10,HFD,0.38315534676912855,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
10,Spectral_Slope,-0.2642748605385786,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
11,DFA,0.1604187111615834,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
11,HFD,-0.06395537404096166,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
11,Spectral_Slope,0.010840748180210927,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
12,DFA,-0.08687420900097295,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
12,HFD,-0.06964561210699254,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
12,Spectral_Slope,-0.15874479550441697,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
13,DFA,-0.026524286369935285,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
13,HFD,0.004992077868495039,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
13,Spectral_Slope,-0.09552518438912538,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
14,DFA,-0.29752164227094174,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
14,HFD,0.468221892445962,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
14,Spectral_Slope,-0.3131864972729255,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
15,DFA,-0.1042647144624514,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_4,VisPeri
15,HFD,0.11690131438192113,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_4,VisPeri
15,Spectral_Slope,-0.04996136659811526,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_4,VisPeri
16,DFA,-0.19351475666746695,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_5,VisPeri
16,HFD,0.12255695532110442,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_5,VisPeri
16,Spectral_Slope,-0.21527882764650924,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_5,VisPeri
17,DFA,-0.2100371099389917,Schaefer2018_17Networks_LH_VisPeri_StriCal_1,VisPeri
