group,n,mean,std,median,feature
CN,154,2.1792526841773388,0.020449862205365266,2.1860317465632586,Fractal_Dim
Dementia,19,2.1702975335073926,0.020399441217090218,2.1732344135665103,Fractal_Dim
MCI,56,2.1783055545426246,0.021439935503100933,2.1842859297941035,Fractal_Dim
CN,154,0.45821843464482437,0.1917384837806831,0.42292014772086284,Graph_Density
Dementia,19,0.34413886164416474,0.14791544504870607,0.3224422898862294,Graph_Density
MCI,56,0.4431766523192753,0.19471915700089473,0.3999159225636168,Graph_Density
CN,154,198.40858220120893,83.02276347703578,183.12442396313364,Graph_MeanDegree
Dementia,19,149.01212709192336,64.04738770608971,139.61751152073734,Graph_MeanDegree
MCI,56,191.89549045424624,84.3133949813874,173.16359447004606,Graph_MeanDegree
CN,154,74.92696556063417,18.403986387344155,78.16174950259821,Graph_StdDegree
Dementia,19,65.37208108750067,16.79860783515669,68.70852193609113,Graph_StdDegree
MCI,56,73.21726820396802,19.31688625834098,78.30121531869801,Graph_StdDegree
CN,154,5.9625669739266565,0.04616460979636458,5.967202268701191,Graph_Entropy
Dementia,19,5.940879988021653,0.03485292993155199,5.931778127539469,Graph_Entropy
MCI,56,5.959158633969116,0.04920726708261016,5.966490470831948,Graph_Entropy
CN,154,-1.4568512725910192,0.49694927667219846,-1.4670712557080623,Graph_ThresholdScaling
Dementia,19,-1.698855779698518,0.42323242299633124,-1.7307618053551714,Graph_ThresholdScaling
MCI,56,-1.4856345473989196,0.5257876612460177,-1.5694663110497098,Graph_ThresholdScaling
CN,154,0.5583220163916373,0.19904612834399302,0.5588443577199294,Spectral_Slope
Dementia,19,0.5267813497140197,0.20494477800133593,0.505634508465485,Spectral_Slope
MCI,56,0.5224043027209528,0.24815844953421698,0.5583438480576892,Spectral_Slope
CN,154,0.6936844423486903,0.06648720409717866,0.6948400810062143,DFA
Dementia,19,0.6986615030217318,0.06179361333080209,0.6909325904260274,DFA
MCI,56,0.6902280412200827,0.07472584782542956,0.6979564755976928,DFA
CN,154,0.9184135351023075,0.034513292070232314,0.9206596831318101,HFD
Dementia,19,0.9207708774798637,0.030694095418702428,0.9158127601897608,HFD
MCI,56,0.9213857016060911,0.040980096786298596,0.9222436561382152,HFD
CN,154,0.008309764544791489,0.002253101223615959,0.0077642326241166,Hvar
Dementia,19,0.008680613953342279,0.001443449732306408,0.0083423351740958,Hvar
MCI,56,0.009005076649468558,0.002374646843320606,0.00838768789554145,Hvar
CN,154,0.2880641423257037,0.032131346531788736,0.28399708641966886,Hrange
Dementia,19,0.296491027875198,0.024760214995389704,0.2924130376245836,Hrange
MCI,56,0.29803623680314434,0.032586501093340124,0.2947076407754152,Hrange
CN,154,-2.1481967422032325e-05,0.008001234887660047,-0.0002475461996779,Htrend
Dementia,19,-0.0008018955205562631,0.005625380916205553,-0.000865510745967,Htrend
MCI,56,-0.0018971019603862892,0.00966745175055391,-0.0024582366501256503,Htrend
