feature,group1,group2,cohens_d,welch_t_stat,welch_df,welch_p_approx,mannwhitney_u,mannwhitney_p,mean_group1,mean_group2,median_group1,median_group2,n_group1,n_group2,fdr_welch_p,fdr_mannwhitney_p
Fractal_Dim,CN,MCI,-0.03876170634937494,-0.24729092746511075,96.81615106315041,0.8046830796276294,4299.0,0.9733683685755259,2.1237883928910195,2.125186226426034,2.1266474930154056,2.1302046195123823,154,56,0.8758421481110066,0.9733683685755259
Fractal_Dim,CN,Dementia,-0.1642710064634512,-0.8446691757741979,26.617623432782832,0.39829557417894024,1418.0,0.8270631093740075,2.1237883928910195,2.129559582743819,2.1266474930154056,2.12122895851394,154,19,0.9007461974175658,0.9562259436429297
Fractal_Dim,MCI,Dementia,-0.1276953789943604,-0.5561769713269791,41.78354820523409,0.5780898803462287,521.0,0.8934023549230656,2.125186226426034,2.129559582743819,2.1302046195123823,2.12122895851394,56,19,0.835036983982293,0.9805625134287134
Graph_Density,CN,MCI,0.02569787226491284,0.1562421572028511,88.88292199425732,0.8758421481110066,3941.5,0.3413790310603999,0.146172071667756,0.14450068189385562,0.1336511957088579,0.12671214652887897,154,56,0.8758421481110066,0.4971702245261298
Graph_Density,CN,Dementia,0.09184771947086133,0.4854354304198493,27.322454745462984,0.6273675048358869,1334.0,0.5311312971027384,0.146172071667756,0.14053535089306365,0.1336511957088579,0.1203265184491438,154,19,0.9007461974175658,0.9380064294616243
Graph_Density,MCI,Dementia,0.06080542514948032,0.2819711092022399,48.64369971909729,0.7779656633215766,525.0,0.9320444325880526,0.14450068189385562,0.14053535089306365,0.12671214652887897,0.1203265184491438,56,19,0.835036983982293,0.9805625134287134
Graph_MeanDegree,CN,MCI,0.02569787226491311,0.1562421572028527,88.88292199425729,0.8758421481110055,3941.5,0.3413790310603999,63.292507032138374,62.5687952600395,57.87096774193549,54.86635944700461,154,56,0.8758421481110066,0.4971702245261298
Graph_MeanDegree,CN,Dementia,0.09184771947086148,0.48543543041985004,27.322454745462977,0.6273675048358862,1334.0,0.5311312971027384,63.292507032138374,60.85180693669658,57.87096774193549,52.10138248847926,154,19,0.9007461974175658,0.9380064294616243
Graph_MeanDegree,MCI,Dementia,0.06080542514948019,0.2819711092022393,48.64369971909729,0.777965663321577,525.0,0.9320444325880526,62.5687952600395,60.85180693669658,54.86635944700461,52.10138248847926,56,19,0.835036983982293,0.9805625134287134
Graph_StdDegree,CN,MCI,0.12061947200980128,0.7301576087366635,88.23288449701018,0.46529385104412957,3854.0,0.239537335620978,35.538950308506955,33.98430246729585,33.45481417155217,32.109058908536895,154,56,0.8758421481110066,0.4971702245261298
Graph_StdDegree,CN,Dementia,0.05080504366999459,0.26467852772912615,26.945302503749208,0.7912571201254739,1453.0,0.9612788433569659,35.538950308506955,34.92220145992129,33.45481417155217,34.195045429114,154,19,0.9007461974175658,0.961278843356966
Graph_StdDegree,MCI,Dementia,-0.07202083850608416,-0.3325836095380144,48.135874881848075,0.7394486173951555,459.0,0.3738555351936139,33.98430246729585,34.92220145992129,32.109058908536895,34.195045429114,56,19,0.835036983982293,0.9805625134287134
Graph_Entropy,CN,MCI,-0.2513692300444529,-1.8160435383569313,125.96739974234723,0.0693636936972779,3725.0,0.13170405831291565,5.884232767467046,5.8994139102153955,5.892332308073099,5.905781251838869,154,56,0.8323643243673349,0.4971702245261298
Graph_Entropy,CN,Dementia,0.023994193279362572,0.1108584509859132,24.398859662131997,0.9117285937604349,1431.0,0.8765404483393522,5.884232767467046,5.882719949166753,5.892332308073099,5.890913728136934,154,19,0.911728593760435,0.9562259436429297
Graph_Entropy,MCI,Dementia,0.3288470491646293,1.1715692284613717,28.413367573332962,0.24137004842626597,435.0,0.23734904666418544,5.8994139102153955,5.882719949166753,5.905781251838869,5.890913728136934,56,19,0.835036983982293,0.9805625134287134
Graph_ThresholdScaling,CN,MCI,0.13387960861670364,0.8480369333165746,95.54008363203008,0.3964174023505682,3914.0,0.30675060813687693,-2.3366519551492795,-2.3861688763362316,-2.3349699640278763,-2.405212117054477,154,56,0.8758421481110066,0.4971702245261298
Graph_ThresholdScaling,CN,Dementia,0.20506551425548003,0.984068548710349,25.10175304768433,0.3250818097446202,1269.0,0.34627074597631546,-2.3366519551492795,-2.410686786224248,-2.3349699640278763,-2.4637012496543003,154,19,0.9007461974175658,0.9380064294616243
Graph_ThresholdScaling,MCI,Dementia,0.06819031300653577,0.2866382899309958,38.56952610594988,0.7743892929513023,516.0,0.8454638010603575,-2.3861688763362316,-2.410686786224248,-2.405212117054477,-2.4637012496543003,56,19,0.835036983982293,0.9805625134287134
Spectral_Slope,CN,MCI,0.18846413883796237,1.1017121504565173,83.42643786969145,0.27058683289444185,3965.0,0.37287766839459735,0.45045062220191656,0.4170030607186499,0.4413911451665827,0.411371298218312,154,56,0.8758421481110066,0.4971702245261298
